,Cantonese,English
888,我哋 ,we
889,生物學,biology
890,基督徒,Christian
891,基督教,Christianity
892,聽日見,see you tomorrow!
893,碩士 ,Master's Degree (MA) 
894,洗手間,washroom
895,清真寺,mosque
896,成績表,report card
897,唔開心,sad
898,我愛你,I love you
899,猶太教,Judaism
900,椰菜花,cauliflower
901,社會學,sociology
902,發羊吊,epilepsy
903,偏頭痛,migraine
904,肺炎 ,pneumonia
905,聖誕節,Christmas
906,聖誕樹,Christmas tree
907,復活節,Easter
908,洗碗機,dishwasher
909,廣東話,Cantonese
910,鍵盤 ,keyboard 
911,混凝土,concrete
912,粉紅色,pink
913,音樂 ,music
914,大理石,marble
915,動作片,action movie
916,卡通片,cartoon
917,警匪片,gangster movie
918,演唱會,concert
919,牛仔褲,jeans
920,高踭鞋,high heels
921,糖尿病,diabetes
922,抑鬱症,depression
923,我愛你,I love you
924,肚餓 ,hungry
925,紅蘿蔔,carrot
926,西蘭花,broccoli
927,白蘿蔔,turnip
928,哈密瓜,melon
929,奇異果,kiwi
930,公仔麵,instant noodles
931,番石榴,guava
932,無花果,fig
933,車厘子,cherry
934,小提琴,violin
935,哈蜜瓜,cantaloupe
936,吞拿魚,tuna
937,烏龍茶,Oolong tea
938,咖啡因,caffeine
939,食齋 ,to be vegetarian
940,維他命,vitamin
941,愛滋病,AIDS
942,厭食症,anorexia
943,香港腳,athlete's foot
944,關節炎,arthritis
945,三文魚,salmon
946,孖煙通,boxer shorts
947,棗紅色,maroon
948,膝頭哥,knee
949,訂書機,stapler
950,指甲鉗,nail clippers
951,有野心,ambitious
952,電鬚刨,electric razor
953,手指公,thumb
954,護髮素,conditioner
955,大黃蜂,wasp
956,冇耐性,impatient
957,洗頭水,shampoo
958,唔禮貌,impolite
959,有耐性,patient
960,有禮貌,polite
961,靠得住,reliable
962,靠唔住,unreliable
963,大笨象,elephant
964,皮包骨,skinny
965,語言學,lingustics
966,統計學,statistics
967,貓頭鷹,owl
968,剃鬚膏,shaving cream
969,止汗劑,deodorant
970,食午餐,have lunch
971,凡士林,vaseline
972,藥劑師,pharmacist
973,避孕套,condom
974,沖涼液,bodywash
975,打工仔,office worker
976,工程師,engineer
977,辦公室,office
978,電腦 ,computer 
979,洗手盤,sink
980,公務員,civil servant
981,熱巧克力,hot chocolate
982,珍珠奶茶,boba tea / bubble milk tea
983,二十/廿,twenty
984,拉小提琴,play violin
985,城市規劃,urban planning
986,北極熊 ,polar bear
987,有責任感,responsible
988,唔使客氣,you're welcome
989,士多啤厘,strawberry
990,家庭主婦,homemaker
991,唔該埋單,"bill, please!"
992,唔該埋單,"bill, please"
993,中學文憑,high school diploma
994,足智多謀,resourceful
995,聖誕老人,Santa Claus
996,四十一 ,forty one
997,農曆新年,Lunar New Year
998,煎pan,frying pan
999,天主教徒,Catholic
1000,巴士總站,bus terminal
1001,消化不良,indigestion
1002,心情唔好,in a bad mood
1003,酒類飲品,alcoholic beverage
1004,心不在焉,absent-minded
1005,猶太教徒,Jewish person 
1006,精力充沛,energetic
1007,唔係太多,not too many / not too much
1008,電影明星,movie star
1009,伊斯蘭教,Islam
1010,三十八 ,thirty eight
1011,外科醫生,surgeon
1012,五十二 ,fifty two
1013,言語治療師,speech therapist
1014,心臟病發作,heart attack
1015,哺乳類動物,mammal
1016,可口可樂 ,Coca-Cola
1017,你最近點啊,how have you been lately?
1018,你食咗飯未,have you eaten yet?
1019,乳糖不耐症,lactose intolerant
1020,見到都流口水,mouthwatering
1021,你可唔可以講得更慢啲,could you speak slower?
