,Cantonese,Part of Speech,Group,English,Pronunciation
510,岩石,Noun,Nature,rock,ngaam4sek6
511,海,Noun,Nature,sea,hoi2
512,星,Noun,Nature,star,sing1
513,瀑布,Noun,Nature,waterfall,buk6bou3
514,浪,Noun,Nature,wave,long4
515,竹,Noun,Nature,bamboo,zuk1
516,仙人掌,Noun,Nature,cactus,sin1jan4zoeng2
517,蒲公英,Noun,Nature,dandelion,pou4gung1jing1
518,花,Noun,Nature,flower,faa1
519,草,Noun,Nature,grass,cou2
520,茉莉,Noun,Nature,jasmin,mut6lei2
521,葉,Noun,Nature,leaf,jip6
522,百合,Noun,Nature,lily,baak3hap6
523,花瓣,Noun,Nature,petal,faa1faan2
524,根,Noun,Nature,root,gan1
525,玫瑰,Noun,Nature,rose,mui4gwai3
526,向日葵,Noun,Nature,sunflower,hoeng3jat6kwai4
527,零,Number,Number,zero,leng4
528,一,Number,Number,one,jat1
529,二,Number,Number,two (for counting),ji6
530,三,Number,Number,three,saam1
531,四,Number,Number,four,sei3
532,六,Number,Number,six,luk6
533,八,Number,Number,eight,baat3
534,十,Number,Number,ten,sap6
535,十一,Number,Number,eleven,sap6jat1
536,一百,Number,Number,one hundred,jat1baak3
537,一萬 ,Number,Number,ten thousand,jat1maan6
538,第,Affix,Numeral Prefix,for ordinal number,dai6
539,明星,Noun,Occupation,celebrity,ming4sing1
540,歌手,Noun,Occupation,singer,go1sau2
541,職業,Noun,Occupation,occupation,zik1jip6
542,商人,Noun,Occupation,businessperson,soeng1jan4
543,公務員,Noun,Occupation,civil servant,gung1mou6jyun4
544,牙醫,Noun,Occupation,dentist,ngaa4ji1
545,工程師,Noun,Occupation,engineer,gung1cing4si1
546,農民,Noun,Occupation,farmer,nung4man4
547,漁夫,Noun,Occupation,fisherman,jyu4fu1
548,記者,Noun,Occupation,journalist,gei3ze2
549,律師,Noun,Occupation,lawyer,leot6si1
550,搵工,Verb,Occupation,to look for a job,wan2gung1
551,經理,Noun,Occupation,manager,ging1lei5
552,打工仔,Noun,Occupation,worker (i.e. anyone one working but not being the boss),daa2gung1zai2
553,藥劑師,Noun,Occupation,pharmacist,joek6zai1si1
554,政客,Noun,Occupation,politician,zing3haak3
555,前台,Noun,Occupation,receptionist,cin4
556,言語治療師,Noun,Occupation,speech therapist,jin4jyu5
557,外科醫生,Noun,Occupation,surgeon,ngoi6fo1ji1saang1
558,翻譯,Noun,Occupation,translator,faan1jik6
559,侍應,Noun,Occupation,"waiter, waitress",si6jing3
560,作家,Noun,Occupation,writer,zok3gaa1
561,辦公室,Noun,Office and stationery,office,baan6gung1sat1
562,電腦 ,Noun,Office and stationery,computer ,din6nou5
563,抬,Noun,Office and stationery,table,toi4
564,信,Noun,Office and stationery,letter,seon3
565,紙,Noun,Office and stationery,paper,zi2
566,訂書機,Noun,Office and stationery,stapler,deng3syu1gei1
567,郵票,Noun,Office and stationery,stamp,jau4piu3
568,避孕套,Noun,Personal Items,condom,bei6jan6tou3
569,親切,Adjective,Personality traits,affectionate,can1cit3
570,有野心,Adjective,Personality traits,ambitious,jau5
571,自大,Adjective,Personality traits,arrogant,zi6daai6
572,勇敢,Adjective,Personality traits,brave,jung5gam2
573,自信,Adjective,Personality traits,confident,zi6seon3
574,保守,Adjective,Personality traits,conservative,bou2sau2
575,黐線,Adjective,Personality traits,"insane, crazy",ci1sin3
576,癲,Adjective,Personality traits,"insane, crazy",din1
577,殘忍,Adjective,Personality traits,cruel,caan4jan2
578,好奇,Adjective,Personality traits,curious,hou3kei4
579,隨和,Adjective,Personality traits,easy-going,ceoi4wo4
580,熱情,Adjective,Personality traits,enthusiastic,jit6cing4
581,外向,Adjective,Personality traits,extraverted,ngoi6hoeng3
582,搞笑,Adjective,Personality traits,funny,gaau2siu3
583,大方,Adjective,Personality traits,generous,daai6fong1
584,貪心,Adjective,Personality traits,greedy,taam1sam1
585,勤力,Adjective,Personality traits,hard-working,kan4lik6
586,誠實,Adjective,Personality traits,honest,sing4sat6
587,無知,Adjective,Personality traits,ignorant,mou4zi1
588,冇耐性,Adjective,Personality traits,impatient,mou5noi6sing3
589,冇禮貌,Adjective,Personality traits,impolite,mou5lai5
590,醒目,Adjective,Personality traits,smart,sing2muk6
591,聰明,Adjective,Personality traits,smart,cung1ming4
592,叻,Adjective,Personality traits,"capable, brilliant, good at ...",lek1
593,激烈,Adjective,Personality traits,intense,gik1lit6
594,內向,Adjective,Personality traits,introverted,noi6hoeng3
595,善良,Adjective,Personality traits,kind,sin6loeng4
596,懶,Adjective,Personality traits,lazy,laan5
597,嘈,Adjective,Personality traits,loud,cou4
598,謙虛,Adjective,Personality traits,modest,him1heoi1
599,八卦,Adjective,Personality traits,nosy,baat3gwaa3
600,有耐性,Adjective,Personality traits,patient,jau5
601,有禮貌,Adjective,Personality traits,polite,jau5lai5maau6
602,靠得住,Adjective,Personality traits,reliable,kaau3
603,有責任感,Adjective,Personality traits,responsible,jau5zaak3jam6
604,自私,Adjective,Personality traits,selfish,zi6si1
605,敏感,Adjective,Personality traits,sensitive,man5gam2
606,怕醜,Adjective,Personality traits,shy,paa3cau2
607,儍,Adjective,Personality traits,silly,so4
608,固執,Adjective,Personality traits,stubborn,gu3zap1
609,蠢,Adjective,Personality traits,stupid,ceon2
610,迷信,Adjective,Personality traits,superstitious,mai4seon3
611,靠唔住,Adjective,Personality traits,unreliable,kaau3
612,禿頭,Adjective,Physical traits,bald,tuk1tau4
613,靚,Adjective,Physical traits,"beautiful, pretty",leng3
614,得意,Adjective,Physical traits,cute,dak1ji3
615,肥,Adjective,Physical traits,fat,fei4
616,瘦,Adjective,Physical traits,"skinny, lean, thin",sau3
617,老,Adjective,Physical traits,old,lou5
618,蒼白,Adjective,Physical traits,pale,cong1baak6
619,性感,Adjective,Physical traits,sexy,sing3gam2
620,矮,Adjective,Physical traits,short,ai2
621,苗條,Adjective,Physical traits,slim,miu4tiu5
622,强壯,Adjective,Physical traits,strong,goeng6
623,高,Adjective,Physical traits,tall,gou1
624,醜樣,Adjective,Physical traits,ugly,cau2joeng2
625,年輕,Adjective,Physical traits,young,nin4heng1
626,啲,Affix,Prefix,for plural people/things,di1
627,餐廳,Noun,Restaurant,restaurant,caan1teng1
628,收據,Noun,Restaurant,"receipt, bill",sau1geoi3
629,客人,Noun,Restaurant,guest,haak3jan4
630,餐牌,Noun,Restaurant,menu,caan1paai2
631,貼士,Noun,Restaurant,tip,tip1si2
632,洗手間,Noun,Restaurant,"toilet, bathroom, washroom",sai2sau2gaan1
633,唔該埋單,Phrase,Restaurant,"bill, please!",m4goi1
634,呢度,Adverb,Spatial terms,here,ni1dou6
635,嗰度,Adverb,Spatial terms,there,go2dou6
636,近,Adverb,Spatial terms,near,gan6
637,遠,Adverb,Spatial terms,far,jyun5
638,方向,Noun,Spatial terms,direction,fong1hoeng3
639,左,Adverb,Spatial terms,left,zo2
640,右 ,Adverb,Spatial terms,right,jau6
641,上,Adverb,Spatial terms,up,soeng5
642,下,Adverb,Spatial terms,down,haa5
643,裏面,Noun,Spatial terms,inside,leoi5min6
644,出面,Noun,Spatial terms,outside,ceot1min2
645,北,Noun,Spatial terms,north,bak1
646,南,Noun,Spatial terms,south,naam4
647,東,Noun,Spatial terms,east,dung1
648,西,Noun,Spatial terms,west,sai1
649,游水,Verb,Sports,to swim,jau4seoi2
650,熟,Adjective,Temperature,cooked,suk6
651,暖,Adjective,Temperature,warm,nyun5
652,機場,Noun,Transportation,airport,gei1coeng4
653,單車,Noun,Transportation,bike,daan1ce1
654,巴士,Noun,Transportation,bus,baa1si2
655,站,Noun,Transportation,"station, stop",zaam6
656,總站,Noun,Transportation,terminal,zung2zaam6
657,船,Noun,Transportation,boat,syun4
658,車,Noun,Transportation,car,ce1
659,公里,Noun,Transportation,kilometer,gung1lei5
660,電單車,Noun,Transportation,motorcycle,din6daan1ce1
661,飛機,Noun,Transportation,plane,fei1gei1
662,地鐵,Noun,Transportation,"subway, MTR",dei6tit3
663,機票,Noun,Transportation,plane ticket,gei1piu3
664,火車,Noun,Transportation,train,fo2ce1
665,紅綠燈,Noun,Transportation,traffic lights,hung4luk6dang1
666,電車,Noun,Transportation,tram,din6ce1
667,雲,Noun,Weather and Astronomy,cloud,wan4
668,月亮,Noun,Weather and Astronomy,moon,jyut6loeng6
669,天空,Noun,Weather and Astronomy,sky,tin1hung1
670,太陽,Noun,Weather and Astronomy,sun,taai3joeng4
671,偶像,Noun,Occupation,idol,ngau5zoeng6
672,凍,Adjective,Temperature,cold,dung3
673,呀,Grammatical Particle,Final Particle,softener,aa3
674,呀,Grammatical Particle,Exclamation,"ah, oh (expressing surprise)",aa1
675,學生,Noun,Occupation,student,hok6saang1
676,廚師,Noun,Occupation,chef,ceoi4si1
677,怪,Adjective,Personality traits,"odd, weird, strange",gwaai3
678,擔心,Verb,Feelings,to worry,daam1sam1
679,書,Noun,Daily Objects,book,syu1
680,枱,Noun,Daily Objects,table,toi2
681,森林,Noun,Nature,forest,sam1lam4
682,植物,Noun,Nature,plant,zik6mat6
683,樹,Noun,Nature,tree,syu6
684,櫈,Noun,Daily Objects,chair,dang3
685,水,Noun,Food and drink,water,seoi2
686,演員,Noun,Occupation,actor,jin2jyun4
687,熱,Adjective,Temperature,hot,jit6
688,碟,Noun,Kitchenware,"dishes, plate",dip2
689,老師,Noun,Occupation,teacher,lou5si1
690,護士,Noun,Occupation,nurse,wu6si6
691,醫生,Noun,Occupation,doctor,ji1sang1
692,開心,Adjective,Feelings,"happy, glad",hoi1sam1
693,雞,Noun,Animals,chicken,gai1
694,雞,Noun,Food and drink,chicken,gai1
695,電視,Noun,Daily Objects,TV,din6si6
696,飛,Noun,"Movies, TV, and Radio",ticket,fei1
697,魚,Noun,Animals,fish,jyu2
