Group,English,Cantonese,Simplified Chinese
Personality traits,selfish,自私,自私
Personality traits,sensitive,敏感,敏感
Personality traits,shy,怕醜,害羞
Personality traits,silly,儍,儍
Personality traits,strange,怪,怪
Personality traits,stubborn,固執,固执
Personality traits,stupid,蠢,蠢
Personality traits,superstitious,迷信,迷信
Personality traits,unreliable,靠唔住,靠不住
Personality traits,weird,怪,怪
Personality traits,wise,聰明,聪明
Physical traits,bald,禿頭,秃
Physical traits,beautiful,靚,漂亮
Physical traits,cute,得意,可爱
Physical traits,dark,黑暗,黑暗
Physical traits,fat,肥,胖
Physical traits,fit,適合,适合
Physical traits,handsome,靚仔,英俊
Physical traits,lean,瘦,瘦
Physical traits,old,老,老
Physical traits,pale,蒼白,苍白
Physical traits,pregnant,懷孕,怀孕
Physical traits,sexy,性感,性感
Physical traits,short,矮,矮
Physical traits,skinny,皮包骨,皮包骨
Physical traits,slim,苗條,苗条
Physical traits,strong,强壯,强壮
Physical traits,stout,粗壯,粗壮
Physical traits,tall,高,高
Physical traits,thin,瘦,瘦
Physical traits,ugly,醜樣,丑
Physical traits,young,年輕,年轻
Plants,plant,植物,植物
Plants,bamboo,竹,竹子
Plants,bonsai,盆景,盆景
Plants,bush,灌木,灌木
Plants,cactus,仙人掌,仙人掌
Plants,Christmas tree,聖誕樹,圣诞树
Plants,dandelion,蒲公英,蒲公英
Plants,flower,花,花
Plants,forest,森林,森林
Plants,grass,草,草
Plants,jasmin,茉莉,茉莉
Plants,leaf,葉,叶
Plants,lily,百合,百合
Plants,lotus,蓮花,莲花
Plants,oak,橡木,橡木
Plants,orchid,蘭花,兰花
Plants,petal,花瓣,花瓣
Plants,root,根,根
Plants,rose,玫瑰,玫瑰
Plants,sunflower,向日葵,向日葵
Plants,tree,樹,树
Quantity,half,一半,一半
Quantity,enough,足夠,足够
Quantity,how many?,幾多個,多少个?
Quantity,few / a few,幾,几
Quantity,part ,部份 ,部份
Quantity,whole,整個,整个
Religion,religion,宗教,宗教
Religion,god,神,神
Religion,Bible,聖經,圣经
Religion,Catholic,天主教徒,天主教徒
Religion,Christian,基督徒,基督徒
Religion,Christianity,基督教,基督教
Religion,church,教堂,教堂
Religion,Devil,魔鬼,魔鬼
Religion,God,天主,天主
Religion,Jewish person ,猶太教徒,犹太教徒
Religion,Judaism,猶太教,犹太教
Religion,ancestor worship,祭祖,祭祖
Religion,Buddha,佛,佛
Religion,temple,寺廟,寺庙
Religion,Tian Hou,天后,天后
Religion,Islam,伊斯蘭教,伊斯兰教
Religion,Muslim,穆斯林,穆斯林
Religion,mosque,清真寺,清真寺
Religion,witch,巫婆,巫婆
Restaurant,restaurant,餐廳,餐厅
Restaurant,ashtray,煙灰缸,烟灰缸
Restaurant,receipt / bill,收據,發票
Restaurant,chef,廚師,厨师
Restaurant,guest,客人,客人
Restaurant,menu,餐牌,菜单
Restaurant,tip,貼士,小費
Restaurant,waiter / waitress,侍應,服务员
Restaurant,washroom,洗手間,卫生间
Restaurant,"bill, please!",唔該埋單,麻烦结账
Spatial terms,where?,邊度,哪里？
Spatial terms,here,呢度,这里
Spatial terms,there,嗰度,那里
Spatial terms,near,近,近
Spatial terms,far,遠,远
Spatial terms,direction,方向,方向
Spatial terms,left,左,左
Spatial terms,right,右 ,右
Spatial terms,up,上,上
Spatial terms,down,下,下
Spatial terms,inside,裏面,里面
Spatial terms,outside,出面,外面
Spatial terms,north,北,北
Spatial terms,south,南,南
Spatial terms,east,東,东
Spatial terms,west,西,西
Spatial terms,be (somewhere),係,在
Spatial terms,go,去,去
Spatial terms,come,嚟,来
Transportation,airport,機場,机场
Transportation,bike,單車,自行车
Transportation,bus,巴士,公交车
Transportation,bus stop,巴士站,公交车车站
Transportation,bus terminal,巴士總站,公交总站
Transportation,boat,船,船
Transportation,car,車,车
Transportation,kilometer,公里,公里
Transportation,motorcycle,電單車,摩托车
Transportation,plane,飛機,飞机
Transportation,subway,地鐵,地铁
Transportation,subway station,地鐵站,地铁站
Transportation,ticket,飛,票
Transportation,plane ticket,機票,机票
Transportation,train,火車,火车
Transportation,traffic lights,紅綠燈,交通燈
Transportation,tram,電車,电车
Transportation,walk,行,行走
TV and radio,TV,電視,电视
TV and radio,radio,收音機,收音机
TV and radio,host,主持,主持
TV and radio,radio station,電台,电台
TV and radio,TV series,電視劇,电视剧
Verbs of motion,bounce,跳,跳
Verbs of motion,climb,爬,爬
Verbs of motion,crawl,爬,爬
Verbs of motion,drag,拉,拉
Verbs of motion,escape,逃,逃
Verbs of motion,fall,跌,掉
Verbs of motion,go,去,去
Verbs of motion,jump,跳,跳
Verbs of motion,kneel,跪,跪
Verbs of motion,pull,拉,拉
Verbs of motion,push,推,推
Verbs of motion,shake,搖,摇
Verbs of motion,spin,轉,转
Verbs of motion,vibrate,振,振动
Verbs of motion,walk,行,行
Verbs of perception,feel,感覺,感觉
Verbs of perception,find,搵,找
Verbs of perception,hear,聽見,听见
Verbs of perception,ignore,無視,忽视
Verbs of perception,listen to,收聽,收听
Verbs of perception,look at,看,看
Verbs of perception,look for,搵,查找
Verbs of perception,notice,通知,通知
Verbs of perception,see,見到,看見
Verbs of perception,stare at,望住,盯着
Verbs of perception,watch,睇,看
Weather,cloud,雲,云
