,Cantonese,Group,English,Pronunciation,Sentence1,Meaning1,Jyutping1,Sentence2,Meaning2,Jyutping2,Sentence3,Meaning3,Jyutping3
129,知道,Verb,to know,zi1 dou3,原來我係最後一個知道嘅人。,,,,,,,,
82,知道,Verb,to know,,,,,,,,,,
98,等陣,Verb,to wait for,,,,,,,,,,
91,翻嚟,Verb,to come back,,,,,,,,,,
95,翻譯,Verb,to translate,,,,,,,,,,
86,聽,Verb,to listen,,,,,,,,,,
1012,聽見,Verb,to hear,,,,,,,,,,
1009,行,Verb,to walk,,,,,,,,,,
32,要,Verb,"to need, to want",jiu3,要試？,wanna try?,jiu3 si3?,好似話要,seems that it's needed,hou2 ci5 waa6 jiu3,要杯水吖,I want a cup of water please,jiu3 bui1 seoi2 aa1
71,要,Verb,"to want, to need",,,,,,,,,,
122,見到,Verb,"to see, have seen",gin3 dou2,我好開心可以見到你。,I am so happy to see you.,ngo5 hou2 hoi1 sam1 gin3 dou2 nei5,,,,,,
1018,見到,Verb,to see,,,,,,,,,,
101,覺得,Verb,to feel,gok3 dak1,我覺得好凍,I feel cold,ngo5 gok3 dak1 hou2  dung3,,,,,,
102,覺得,Verb,to think,gok3 dak1,我覺得呢件衫唔靚,I think this shirt doesn't look good,ngo5 gok3 dak1 ne1 gin6 saam1 m4 leng3 ,,,,,,
35,話,Verb,"to say, to state, to speak",waa6,原來佢話⋯,Originally she said ...,jyun4 loi4 keoi5 waa6,我話咗唔去。,I said I'm not going.,ngo5 waa2 zo2 m4 heoi3.,佢話唔知。,He said he didn't know.,keoi5 waa6 keoi5 m4 zi1.
128,諗,Verb,to think, to consider,nam2,你喺度諗緊乜嘢呀？,What are you thinking about?,,,,,,
30,講,Verb,"to speak, to explain",gong2,講喇！,Say it!,gong2 laa1,講咩呀?,What did you say?,gong2 me1 aa3,佢冇講!,He didnt say it!,keoi5 mou5 gong2
93,講,Verb,"to say, to speak",,,,,,,,,,
83,識,Verb,to know how to,,,,,,,,,,
97,識聽,Verb,to understand (a language),,,,,,,,,,
80,買,Verb,to buy,,,,,,,,,,
112,走,Verb,to run, ,zau2,火燭啊！走啊！,Fire! Run!,fo2 zuk1 aa3 zau2 aa3,,,,,
113,走,Verb,"to leave, to go away,",zau2,我要走喇,I have to leave now.,ngo5 jiu3 zau2 laa1,,,,,,
114,走,Verb,"to die, to pass away ",zau2,佢琴日走咗,He passed away yesterday.,keoi5 kam4 jat6 zau2 zo2,,,,,,
85,走,Verb,to leave,,,,,,,,,,
1000,跌,Verb,to fall,,,,,,,,,,
1003,跪,Verb,to kneel,,,,,,,,,,
995,跳,Verb,to bounce,,,,,,,,,,
1002,跳,Verb,to jump,,,,,,,,,,
1007,轉,Verb,to spin,,,,,,,,,,
80,返,Verb,"to go back, to come back, to return to",faan1,你幾時先返香港?,When will you go back to Hong Kong?,nei5 gei2  si4 sin1 faan1 hoeng1 gong2,,,,,,
90,返,Verb,"to return, to back, to re-",,,,,,,,,,
92,返去,Verb,to go back,,,,,,,,,,
999,逃,Verb,to escape,,,,,,,,,,
1017,通知,Verb,to notice,,,,,,,,,,
89,過,Verb,"to cross, to pass ",gwo3,啲細路唔識點樣過馬路,The kids don't know how to cross the road,di1 sai3 lou6 m4 sik1 dim2 joeng6  gwo3 maa5 lou6,佢啱啱走過我隔嚟,She just walked pass me,keoi5 aam1 aam1zau2 gwo3 ngo5 gaak3 lai4,,,
78,鍾意,Verb,to like,,,,,,,,,,
76,食,Verb,to eat,,,,,,,,,,
77,飲,Verb,to drink,,,,,,,,,,
107,點,Verb,to dip,dim2,點啲豉油吖,Dip it in some soy sauce,dim2 di1 si6 jau4 a4,,,,,,
