,Cantonese,English,Simplified Chinese
1002,跳,play violin,拉小提琴
1003,跪,urban planning,城市规划
1004,拉,polar bear,北极熊
1005,推,twenty,二十/廿
1006,搖,strawberry,草莓
1007,轉,homemaker,家庭主妇
1008,振,"bill, please!",麻烦结账
1009,行,"bill, please",麻烦结账
1010,感覺,high school diploma,中学文凭
1011,搵,resourceful,足智多谋
1012,聽見,you're welcome,不用客气
1013,無視,speech therapist,言语治疗师
1014,收聽,heart attack,心脏病发作
1015,看,mammal,哺乳类动物
1016,搵,Coca-Cola,可口可乐
1017,通知,how have you been lately?,你最近怎么样
1018,見到,have you eaten yet?,你吃饭了没
1019,望住,lactose intolerant,乳糖不耐症
1020,睇,mouthwatering,看到都流口水
1021,雲,could you speak slower?,你能说得更慢点吗
